"Fit parameters produced by simultaneous optimization of 4 psuedo-Voigt peaks over the Hap quadruplet. Io is the total integrated intensity, mu is the mean position (peak center), fg is the Gaussian component of the peak width, fl is the Lorentzian component of the peak width. See methods section ref  6 and Supplemental Text 1.4.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
reflection,'121','121','121','121','112','112','112','112','030','030','030','030','022','022','022','022'
variable,Io,mu,fg,fl,Io,mu,fg,fl,Io,mu,fg,fl,Io,mu,fg,fl
units,[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta]
pattern_ID,,,,,,,,,,,,,,,,
30,6972.568143,14.84419634,0.089297774,0.05027239,142.7868355,15.155,0.15,0.15,9533.469341,15.36065487,0.084578135,0.05861795,24.22237196,15.9354925,0.024776032,0.023371815
31,7696.704559,14.84003401,0.09174217,0.05176434,207.1242892,15.15499967,0.15,0.15,7439.319994,15.36342889,0.084847317,0.060924653,15.37479628,15.8710312,0.05407381,0.023371826
32,8219.593141,14.84184662,0.087840933,0.052543848,181.6034747,15.01454831,0.129106755,0.149999395,7875.421262,15.36303013,0.081045081,0.062180536,26.22294024,16.00256632,0.128138751,0.029703272
33,7717.681389,14.84425473,0.084575202,0.055944016,126.1147165,15.13337155,0.149999998,0.122961354,7558.701017,15.36122654,0.076962503,0.062313441,0.000100345,16.0049629,0.023371825,0.023371816
34,7197.959086,14.84512716,0.084981324,0.053655049,335.9155992,15.05977431,0.098546403,0.149998207,6440.254809,15.36127109,0.083586195,0.060985529,69.53688075,15.90922777,0.02500595,0.048613477
35,7832.081282,14.84366827,0.083533042,0.05325819,625.4836924,15.05520208,0.031338836,0.110841308,4831.523402,15.36372893,0.083566872,0.058062026,295.6137827,15.91687307,0.080290249,0.049538848
36,7293.235885,14.84831118,0.079662365,0.056055851,1029.326482,15.06160105,0.087223765,0.043712172,4077.964453,15.35857404,0.079702772,0.059938962,490.976272,15.91185535,0.092301415,0.023371817
37,6846.269648,14.84812538,0.076698006,0.05669282,746.3878198,15.06148518,0.080215074,0.048475104,4964.980125,15.35607252,0.080813227,0.062200593,420.6763951,15.91720049,0.096022359,0.023371816
38,5517.878118,14.84479763,0.087973429,0.047286511,769.3939023,15.06424484,0.045232612,0.115312249,7371.569763,15.36010494,0.083180955,0.059557238,247.2733335,15.91106244,0.066030375,0.023371838
39,4926.960487,14.84467587,0.094630818,0.042471027,738.9560407,15.06594537,0.040994331,0.096523407,8302.755844,15.36121392,0.077164477,0.061459804,148.2745111,15.91923116,0.05545484,0.023371818
40,6807.935132,14.84236462,0.086606379,0.049349717,496.4939836,15.05775043,0.067524536,0.064177169,6417.215432,15.36049215,0.075469145,0.069964726,176.7139005,15.92489043,0.047612198,0.049786475
41,6006.268021,14.84476761,0.0871659,0.055193694,363.5338909,15.061266,0.105697464,0.023371916,6361.831986,15.35927111,0.078960853,0.065168421,128.3972946,15.90922593,0.074188314,0.023371815
42,5255.46702,14.84492352,0.090156251,0.049584123,564.3955101,15.06727016,0.083446201,0.076551007,4406.007695,15.35878028,0.085480841,0.054009772,100.5207199,15.91566392,0.047702311,0.023371817
43,5453.130076,14.84839266,0.084320642,0.053800203,508.455212,15.06420533,0.100538924,0.023371855,4870.491483,15.36154132,0.077753531,0.064324756,201.5336509,15.91407843,0.076541265,0.023371815
44,4712.919349,14.84941331,0.078642141,0.053616856,506.1417031,15.06608087,0.092996111,0.023371884,6025.045749,15.35614969,0.083306721,0.059675646,298.4596791,15.91256677,0.080701276,0.056344057
45,4054.660164,14.83728967,0.092646588,0.024708265,642.5521277,15.01312357,0.15,0.15,6328.672383,15.35883101,0.089902136,0.060917108,114.4511464,15.909237,0.076110091,0.023371815
46,857.059384,14.85104614,0.101059962,0.023371815,243.3936656,15.09665437,0.15,0.149999959,6222.963113,15.35450321,0.088315171,0.067924657,0.0001,16.005,0.023436224,0.15
47,846.367324,14.85069268,0.101487031,0.023371815,125.3728853,15.155,0.15,0.047130825,8325.936404,15.35861713,0.085940099,0.061381061,0.0001,16.005,0.15,0.15
48,806.9440221,14.85265157,0.104784869,0.02946273,76.93920737,15.155,0.149999996,0.130174683,9810.706464,15.35885131,0.082572282,0.06689902,0.000100487,16.005,0.059490703,0.15
49,1578.346486,14.84833101,0.096209874,0.047906566,143.9693993,15.155,0.15,0.15,7262.231686,15.36087143,0.078438826,0.068552303,8.809078992,15.98880776,0.023371862,0.02337188
50,2715.239011,14.84679519,0.08269969,0.063622909,0.0001,15.155,0.15,0.15,6356.501163,15.36301609,0.080030122,0.068591969,0.0001,16.005,0.15,0.15
51,3497.67109,14.84206442,0.10043393,0.038756925,123.6944588,15.005,0.066765143,0.061754914,4631.245858,15.36700499,0.083513096,0.068806565,0.0001,16.005,0.023371815,0.15
52,3332.677983,14.84772458,0.088700566,0.048390887,38.19557863,15.005,0.041965737,0.023371815,2700.613449,15.36108517,0.098003043,0.049657254,19.86409581,15.90978218,0.036041318,0.023371815
53,51.10453255,14.86396321,0.029683561,0.046842206,37.61333372,15.00500088,0.061911623,0.096362513,175.1496167,15.35234107,0.040405581,0.148274719,31.59834154,15.86634622,0.074563516,0.149935175
