Fit quality and calculated crystallographic parameters for each pattern in the diffraction map of sample 1.,,,,,
,,,,,
variable,R^2,CLAA,s121,a,c
units,[a.u],[a.u.],[\AA],[\AA],[\AA]
pattern_ID,,,,,
417,0.982622639,1.514261932,482.20862,9.452480286,6.830774784
418,0.998728747,2.410660834,350.8653041,9.451330134,6.862612289
419,0.999601056,2.702769094,455.8318166,9.450167186,6.881819712
420,0.999696737,1.787803489,481.5220007,9.453845858,6.869242818
421,0.999679877,2.767267876,456.1415501,9.451547255,6.882939779
422,0.99967547,2.872278938,445.3583479,9.452204344,6.888491742
423,0.999628585,3.724629406,436.1296968,9.452154501,6.886538432
424,0.999776601,4.313189294,415.1840571,9.452749596,6.878952367
425,0.999747308,3.575697648,431.0358189,9.453056814,6.875348594
426,0.999735805,3.312045503,443.6766116,9.454139673,6.868808233
427,0.999741218,2.408709458,460.5591112,9.45323832,6.873186667
428,0.999743499,3.583114946,418.784895,9.452078277,6.879470837
429,0.99965474,3.94888176,408.3635665,9.452540913,6.872645621
430,0.999391335,2.498220776,447.1003472,9.451972081,6.877487409
431,0.999706493,1.742249059,494.6759642,9.454352788,6.880718567
432,0.999699533,4.633119617,454.0147495,9.451879726,6.890652715
433,0.99977003,4.522640881,402.5098903,9.45329512,6.884333486
434,0.999687067,4.618014287,389.6028395,9.451739308,6.89284283
435,0.999694771,4.751261303,405.6368557,9.454078737,6.883953394
436,0.999753944,4.67074348,401.0592173,9.451512584,6.894045653
437,0.99975194,4.935370466,398.9146328,9.452544964,6.881825702
438,0.999711749,4.955717422,404.2938166,9.45291509,6.876578602
439,0.999761573,4.642471543,420.3953266,9.453660202,6.874468687
440,0.999709668,4.930493392,406.6582488,9.452979378,6.872492419
441,0.999743691,4.363089289,399.2755793,9.454852584,6.862130888
442,0.999764958,3.580876866,443.8577826,9.454595293,6.864060486
443,0.999749416,4.219783839,447.3009161,9.452483611,6.868820073
444,0.999635392,4.072297381,409.8136196,9.452242049,6.869578883
445,0.99972883,3.223792166,415.1295596,9.451129572,6.876607662
446,0.999749395,2.991572864,416.1158211,9.451657984,6.873055002
447,0.999658602,3.10560889,448.967984,9.451473155,6.888836949
448,0.999726557,1.540404413,434.6897998,9.454394607,6.88072439
449,0.999684899,2.19828242,454.7303447,9.451675795,6.88449327
450,0.999686214,2.371310294,433.880024,9.452974908,6.884153299
451,0.998784587,1.288836637,487.0500655,9.458918825,6.863160887
452,0.999631178,3.290845983,468.3245089,9.454103448,6.879467819
453,0.999762276,4.351698581,487.46907,9.454246256,6.884315841
454,0.999737584,5.176739979,442.0273785,9.453515904,6.886196248
455,0.999730551,4.49336011,402.065503,9.452207315,6.902444338
456,0.999689402,4.975260082,409.7147052,9.452455165,6.897981907
457,0.999643734,5.03763841,407.3389798,9.452790832,6.893851846
458,0.999699626,4.881008319,400.2351795,9.453662232,6.888890815
459,0.999678352,4.738922209,398.4792451,9.454215872,6.88083534
460,0.999646891,3.327170318,433.2840611,9.454068812,6.882129976
461,0.999703139,2.064902838,474.7164544,9.454220332,6.883279042
462,0.999783008,2.939457014,530.7210664,9.455626377,6.870344414
463,0.999696571,4.930873125,446.2131404,9.453016302,6.887301276
464,0.999755627,4.792950166,403.8007195,9.452294902,6.895472249
465,0.999622833,5.209898792,409.1656325,9.452817519,6.895721967
466,0.999583786,5.399297864,395.5619035,9.453412686,6.89303077
467,0.999651652,5.175740602,400.7231758,9.452753208,6.897502633
468,0.999619754,5.450818123,376.1542726,9.455823995,6.87612739
469,0.989362058,1.173081302,448.4502435,9.451573504,6.855256956
470,0.998817827,2.31467323,320.7580442,9.45171786,6.866318808
471,0.999631603,1.693597088,442.1417804,9.45196925,6.866404654
472,0.999798536,1.714103953,438.4529399,9.454049505,6.869070011
473,0.999634281,3.355778065,434.5667695,9.451826461,6.888162763
474,0.999773768,4.104848288,417.3610065,9.452459141,6.888552096
475,0.999737174,3.876907166,428.777048,9.452495443,6.882743403
476,0.99973569,2.408182907,434.6674654,9.455013485,6.866365669
477,0.999719088,1.568766225,443.1012507,9.453588167,6.869691118
478,0.999685648,2.641062429,474.1227211,9.454285427,6.875148721
479,0.999792123,1.663586084,489.9632693,9.453137717,6.875536026
480,0.999798327,2.070783644,474.5955567,9.45285843,6.875416125
481,0.999704879,2.769223411,431.9655784,9.452713411,6.873621129
482,0.999693005,1.529767005,445.8958836,9.453225828,6.872022021
483,0.999799536,1.537437953,470.1671617,9.45377507,6.878806896
484,0.999586176,2.924486757,463.2277732,9.451413716,6.890807575
485,0.999743437,4.086392634,409.381726,9.452143769,6.885663274
486,0.99974505,5.13531744,394.1566992,9.451399165,6.894259301
487,0.99964155,4.732212678,409.4797929,9.452758658,6.887122373
488,0.999687886,4.941785848,409.8858674,9.452536426,6.889498365
489,0.999759611,4.827311931,394.6092834,9.452852587,6.876204022
490,0.999745165,5.179556823,403.8335351,9.452917066,6.876765754
491,0.999685773,4.479254634,424.5169814,9.45253441,6.876848161
492,0.999649412,4.048100386,442.687403,9.452526717,6.879012884
493,0.999666026,3.809291915,429.6222725,9.453298743,6.865448061
494,0.999709482,3.118849686,434.4680385,9.4527751,6.863431825
495,0.99961824,3.122441703,424.9429852,9.452159187,6.86574476
496,0.99918352,3.914106832,395.6532652,9.452318978,6.867455524
497,0.999611508,3.869458813,385.0004819,9.45015142,6.872344747
498,0.999741847,2.60779819,417.7023452,9.450997509,6.869188303
499,0.999754018,3.105035977,419.7661336,9.451877483,6.876023007
500,0.99973656,3.447680739,421.6816533,9.452931581,6.876733779
501,0.999679337,4.381776034,430.9977259,9.453180401,6.876294715
502,0.999763068,2.61344609,450.6597347,9.453708548,6.878375789
503,0.999518732,1.624839637,492.2509644,9.452906245,6.878677368
504,0.999774499,3.132867202,485.0037269,9.453580201,6.879638859
505,0.999750157,5.23661544,429.9568771,9.453156067,6.885937764
506,0.999584775,4.751190041,397.9088864,9.452584616,6.901509459
507,0.999691857,5.724782546,386.2304637,9.453776975,6.891176274
508,0.999743894,5.275923075,398.8311758,9.452450345,6.897513722
509,0.999695744,5.257754148,403.3525556,9.453324388,6.888710431
510,0.999631607,5.258770064,395.5670094,9.454371922,6.879373611
511,0.99974441,4.500754133,407.877934,9.452997474,6.884036918
512,0.999754981,2.736408246,423.104086,9.454793569,6.874267118
513,0.999769327,1.398679023,469.7541961,9.454387133,6.877663376
514,0.999732872,2.191405462,495.2622113,9.454723337,6.873674537
515,0.99971955,4.367229357,446.2127851,9.453464163,6.881393763
516,0.999719697,4.667976229,401.7308686,9.453886919,6.885479501
517,0.999765331,5.586984575,396.6781756,9.453077542,6.894448827
518,0.999766826,5.029243804,392.4397711,9.45301994,6.896519208
519,0.999713328,5.222992469,395.8114803,9.453429177,6.888693106
520,0.999703204,5.378107438,373.1694081,9.45434691,6.878734746
521,0.993353604,1.377333493,453.3991576,9.452361409,6.854159976
522,0.999544912,2.242606667,322.4923325,9.452660671,6.874188302
523,0.999769927,2.477331856,411.8079344,9.455078571,6.857768903
524,0.999750244,2.242893244,428.7035067,9.454623821,6.861483554
525,0.999712472,1.800149375,426.9287457,9.452348893,6.880660725
526,0.999807136,3.003979258,422.4736677,9.452125908,6.882433729
527,0.999660557,2.426335206,426.7355287,9.451586676,6.888795307
528,0.999733624,1.891618655,463.3348688,9.456089209,6.865137727
529,0.999801376,3.037907508,482.5841294,9.454176845,6.876176123
530,0.999780413,3.440697708,454.9592423,9.453187952,6.882988553
531,0.999695737,3.598218344,458.8987568,9.451827666,6.885463241
532,0.999644975,2.501794494,447.5976515,9.452700634,6.878539191
533,0.999695534,2.96464173,429.4049067,9.452618713,6.881375939
534,0.999720225,2.711351959,436.6016825,9.453893849,6.873140853
535,0.999696772,2.609603567,448.0762844,9.45367893,6.875619473
536,0.999763911,2.005461368,477.8253731,9.453509683,6.882404075
537,0.999616094,4.139913203,434.6361483,9.450706576,6.896743666
538,0.999620181,4.502040752,430.0663357,9.452392174,6.893565967
539,0.999662668,5.123127834,420.6352144,9.452276833,6.892384308
540,0.999664975,4.281372463,425.0790817,9.452365033,6.887768976
541,0.999736985,4.861160441,393.0355906,9.451479205,6.88214454
542,0.999645588,5.235029106,412.645587,9.452746002,6.878165282
543,0.999704628,4.122981454,431.1199086,9.452973886,6.871517959
544,0.999747875,1.633832459,451.6074497,9.45494291,6.867034403
545,0.999730788,3.198655854,500.8362658,9.453635407,6.868138338
546,0.999690487,4.250308446,447.8188818,9.451396959,6.876199699
547,0.999642805,4.565293836,410.9076338,9.450743209,6.876848104
548,0.999367162,5.379295585,368.3912107,9.451334175,6.882022374
549,0.999446468,4.526659072,395.5153611,9.449487626,6.88484966
550,0.999608173,4.6443611,401.4999969,9.449650215,6.882557287
551,0.999676041,4.16150388,398.2377882,9.451387688,6.881697951
552,0.999749017,2.038648726,432.4583436,9.452767015,6.878035707
553,0.999767387,4.149737816,435.3911477,9.453847437,6.873664715
554,0.999699342,3.816520765,469.6686783,9.453907633,6.875486314
555,0.999590381,1.813257889,471.6581381,9.453738651,6.87363031
556,0.999752387,3.4121864,513.8031635,9.453233666,6.881071851
557,0.999678471,5.046863424,454.5856066,9.451676653,6.895273976
558,0.999551794,5.2072289,426.4825314,9.45306348,6.900808833
559,0.999679553,5.720086406,401.9308621,9.453764838,6.889834889
560,0.999661112,5.484801616,425.1059552,9.452326815,6.892048057
561,0.999747633,5.131010968,389.7746615,9.453626502,6.882233831
562,0.999776413,5.152961516,400.3697095,9.453442749,6.878880224
563,0.999741269,4.607930192,419.831329,9.454208062,6.874907721
564,0.999644661,1.703458572,433.4951447,9.455672737,6.870535485
565,0.999538635,1.690149278,491.7644007,9.45662626,6.870477659
566,0.999636966,2.477510124,549.7217788,9.451562662,6.885618359
567,0.999716435,3.613887443,479.5504715,9.453844531,6.892161349
568,0.999680409,5.416000538,426.6014876,9.452259565,6.895084847
569,0.999810665,5.765330365,411.4660977,9.452639011,6.897258704
570,0.999666105,5.226415801,412.0877628,9.452785918,6.894804205
571,0.999734937,5.041938407,386.7666873,9.453122472,6.891599418
572,0.999701365,4.186326982,400.1282851,9.451911347,6.887885519
573,0.994117207,1.827282324,370.4203905,9.451807995,6.850786039
574,0.999616009,1.982814366,351.0415855,9.452593864,6.875456912
575,0.999727095,2.480089601,471.4719686,9.455097321,6.871392209
576,0.999743761,3.100685205,436.6952219,9.454183954,6.868374648
577,0.999713272,3.264410241,426.8532019,9.452879812,6.879985544
578,0.999812684,2.827819028,449.2759842,9.453867451,6.871195194
579,0.999742008,0.487075566,465.9825758,9.453577537,6.875292782
580,0.999799067,1.829301101,508.9482657,9.452144661,6.879226277
581,0.999776168,3.205687432,520.50059,9.452536086,6.881111377
582,0.999776688,4.207622794,509.2146621,9.452449824,6.88525623
583,0.999714199,3.843149177,463.3359192,9.4511267,6.88863826
584,0.99967193,4.673641795,427.2143789,9.450990709,6.889220808
585,0.999672823,5.05291364,415.0169971,9.451566728,6.88966262
586,0.999792632,4.71818455,405.3414007,9.451955732,6.883736048
587,0.999754055,4.23295504,432.0492535,9.453911921,6.881965777
588,0.999787554,1.608358557,478.4599644,9.45402627,6.877064908
589,0.999755141,3.129686501,469.5168739,9.452027076,6.88898354
590,0.999710097,4.109441377,434.4349751,9.451611853,6.894481947
591,0.999677015,4.959263062,438.3847698,9.451772936,6.893196087
592,0.999785201,3.759703056,448.7856005,9.4513305,6.894299811
593,0.999641494,4.208574485,421.4713507,9.450650167,6.882832578
594,0.999772633,4.560205165,400.5107437,9.452329552,6.876992445
595,0.999738443,2.869634451,465.4930409,9.453039201,6.870234924
596,0.999731114,3.046480218,529.4936527,9.453460201,6.866601563
597,0.999744058,3.479010784,488.2151249,9.453298272,6.872887801
598,0.999642102,5.005611793,433.9711994,9.450531965,6.885329164
599,0.999605664,5.314144361,405.0520492,9.451218682,6.880402339
600,0.999387963,5.414481467,367.2302678,9.449623332,6.894809629
601,0.99951423,4.526692541,387.8616467,9.447544571,6.893435117
602,0.999695073,5.207342577,390.8027151,9.451099493,6.881871194
603,0.999802268,5.103968132,423.3996782,9.45275461,6.87960991
604,0.999794235,3.005673875,427.0908141,9.453125141,6.881164413
605,0.999745145,2.729362054,430.4810451,9.453129894,6.87769224
606,0.999747215,3.199295562,464.0895028,9.452933693,6.879519895
607,0.999740236,1.351056236,503.2496865,9.454337498,6.876236574
608,0.999773813,2.722577191,493.0532999,9.455064064,6.875701119
609,0.999693947,4.862568497,415.1658967,9.453048006,6.883112654
610,0.999667215,4.581320266,443.0580833,9.453212533,6.887499056
611,0.999725048,5.086933006,395.0023838,9.453484293,6.892307616
612,0.999752007,5.352858846,406.7497059,9.453531106,6.886174767
613,0.999678006,4.924419593,389.1932821,9.453628239,6.878052698
614,0.999863784,5.525463348,399.8353607,9.454523902,6.876063846
615,0.999775943,5.345259422,408.3832252,9.454506523,6.873448341
616,0.999670674,2.363141649,459.9863424,9.454920773,6.872232595
617,0.99975561,2.033620302,503.3419265,9.455334294,6.873870348
618,0.999687198,3.50025832,476.3718708,9.452244029,6.890623475
619,0.99974388,4.621740212,476.907309,9.453113269,6.885742111
620,0.999637648,5.37779775,416.39895,9.452276626,6.889995641
621,0.999666029,5.662956619,407.2951589,9.452878608,6.894607213
622,0.999705344,5.490877054,414.0984048,9.453006657,6.89228511
623,0.999723285,4.747412739,398.5278642,9.453635198,6.883293383
624,0.999775463,4.867949914,379.3023828,9.453597278,6.879112149
625,0.994934191,1.194588221,458.87405,9.45236958,6.867484642
626,0.999677676,1.244725766,375.7194877,9.449723464,6.889421275
627,0.999736502,1.477063651,460.4300519,9.452097156,6.881776362
628,0.999616903,2.215239387,448.1652547,9.454374971,6.868089008
629,0.999820777,3.534961823,445.31315,9.452440644,6.884732855
630,0.999721638,1.830227904,480.2248321,9.452987715,6.878416628
631,0.999765737,0.953036163,447.3971307,9.453939078,6.868489352
632,0.999744382,2.263145506,501.138211,9.451853761,6.880300753
633,0.999776641,3.144117039,459.3646802,9.451924138,6.885313416
634,0.99972496,4.429145229,490.9982686,9.450925124,6.887861376
635,0.999535738,3.69596441,439.0997326,9.449640068,6.892375357
636,0.99973786,5.479742526,416.5259528,9.451364054,6.889735388
637,0.999652231,5.560029205,403.6186941,9.450383001,6.891623715
638,0.999711943,5.235591726,410.9303599,9.450805726,6.892103338
639,0.999752377,4.835531173,421.7683543,9.452247488,6.895218346
640,0.99969615,3.393396472,472.7734069,9.454705271,6.881240164
641,0.999624137,1.549241497,490.9496765,9.453312465,6.875779769
642,0.999655589,3.716579881,444.6551831,9.450672593,6.889602058
643,0.999746,3.919510686,438.5230463,9.452559635,6.88416603
644,0.999702597,2.834139182,435.1960306,9.451435862,6.886720534
645,0.999729034,3.919903908,430.1568789,9.451130872,6.884695062
646,0.999723127,2.506463941,459.4339386,9.453121234,6.876594992
647,0.999637523,2.087440106,500.9718596,9.456538514,6.856127004
648,0.999706448,3.254962289,496.4279982,9.452356588,6.879865458
649,0.999674209,4.38305966,470.546937,9.450745176,6.887317464
650,0.999760585,5.458443373,422.9020601,9.451428476,6.884145951
651,0.999658562,5.348427407,390.9009568,9.451057813,6.887908805
652,0.999705977,5.181592045,384.6586816,9.450404464,6.893629847
653,0.99948112,5.678840496,381.1922305,9.449829158,6.900335359
654,0.99964577,5.291801301,396.5543442,9.451231405,6.892858041
655,0.999717886,4.742676336,403.6462811,9.451614028,6.889191276
656,0.999789847,4.973743581,410.8744563,9.453998127,6.87537837
657,0.999770844,3.615690834,426.7892001,9.45370744,6.876785208
658,0.999714961,2.37839691,456.2682605,9.452570011,6.879953193
659,0.999803592,1.024370607,523.251117,9.454249449,6.879823551
660,0.999698298,3.247690445,491.0346437,9.454279343,6.88098271
661,0.99969837,4.706631063,440.3324402,9.452408621,6.883568862
662,0.999620456,4.396372277,429.3303064,9.453025556,6.887167002
663,0.999733138,5.151561029,392.3636752,9.452356781,6.887402485
664,0.999729055,4.993067793,400.8377101,9.452919722,6.887437339
665,0.999609402,4.70075054,405.0535567,9.451786727,6.888258744
666,0.999778028,4.87405408,397.7491029,9.452621807,6.877222797
667,0.99970169,4.965887922,392.6780095,9.453910456,6.87096406
668,0.999793112,3.671277626,424.6009814,9.454863841,6.868081333
669,0.999816559,2.109445167,480.7331784,9.455993964,6.867568002
670,0.999715899,3.015373394,472.0610923,9.454663735,6.878170782
671,0.999801025,4.182394823,441.4608489,9.454020685,6.888348893
672,0.999696337,4.101168061,442.4288197,9.45252126,6.894082281
673,0.999662685,4.833505515,426.3218345,9.452774551,6.891996169
674,0.9996142,5.071074501,398.113613,9.451638757,6.895434145
675,0.99954066,4.327603863,417.7568602,9.452054638,6.888590048
676,0.999675849,4.715845438,386.6767327,9.453856624,6.876775474
677,0.989551481,0.740583983,307.1996808,9.451286094,6.849020484
678,0.999361458,1.094510751,327.8590934,9.4500019,6.881280642
679,0.999702336,1.607537581,457.2118371,9.452428777,6.88069777
680,0.999690159,2.933439081,444.3264539,9.452360972,6.883971437
681,0.999745127,1.148351569,459.2284196,9.450888175,6.885981611
682,0.999777574,1.257400734,490.9179199,9.455452163,6.869325158
683,0.999783738,1.396262303,509.3511025,9.453200332,6.8728744
684,0.999761574,3.980550445,471.5666718,9.451215101,6.891395524
685,0.999674913,4.095370183,474.3289625,9.45121647,6.887379255
686,0.999697293,4.846803493,453.7166579,9.450433612,6.895298836
687,0.999659576,5.331577521,411.0506797,9.451842508,6.886809671
688,0.999755366,5.598649449,403.5522991,9.450400808,6.891548193
689,0.999672796,5.695989965,386.716397,9.450319831,6.891055813
690,0.999601333,5.205625222,403.6620521,9.450685121,6.893806296
691,0.999728497,5.708926916,412.3064947,9.45130486,6.891334186
692,0.999750292,5.041606392,435.182262,9.45318893,6.880675344
693,0.99974269,3.232055161,446.0982534,9.453562361,6.870727646
694,0.99980522,1.934122143,456.4018763,9.453653222,6.868349004
695,0.999792649,1.284388337,462.5435066,9.452582705,6.880204754
696,0.999668511,1.739661828,453.4919056,9.451689734,6.879580038
697,0.999716861,3.764498668,449.0083457,9.451624709,6.881886656
698,0.999803787,3.201574515,438.0940072,9.452323486,6.876091758
699,0.999736092,0.997197823,461.3727624,9.453570657,6.874514273
700,0.999684331,3.145666541,479.1364639,9.45055018,6.883945887
701,0.99971256,4.112907308,459.889763,9.451528734,6.889668804
702,0.999661846,5.634920063,421.2966739,9.450510093,6.887935863
703,0.999618819,5.819309983,385.3179772,9.450701278,6.892941064
704,0.999700055,5.815406726,370.643671,9.45105969,6.887726225
705,0.999731312,5.552917324,383.7432219,9.451711737,6.889424756
706,0.999731507,5.122702766,390.6727673,9.451610074,6.8916025
707,0.999721925,5.631686859,392.7727626,9.452514735,6.880372774
708,0.999798248,4.665120149,404.4733525,9.453002268,6.878593728
709,0.999755904,4.294404168,420.8568089,9.450816816,6.886867245
710,0.999820688,1.726521522,448.8996028,9.453184259,6.876477293
711,0.999714172,1.378778957,499.4490183,9.454307871,6.876210589
712,0.999727001,1.789405866,543.678241,9.453317278,6.879194776
713,0.999733282,5.023855139,458.3307317,9.452600925,6.879456904
714,0.999780434,5.424214857,393.0073894,9.452686367,6.889704179
715,0.999664835,5.162739032,408.3418227,9.453009622,6.885221761
716,0.999659199,5.501077541,398.162016,9.452712619,6.887294487
717,0.999651597,5.000671656,407.3625536,9.453424748,6.879095242
718,0.999718426,5.348991198,392.8838628,9.452654432,6.878134378
719,0.999721478,4.970121587,395.8630583,9.453518472,6.873012956
720,0.999682714,4.538425659,428.2662319,9.453287858,6.871407701
721,0.999803772,3.589530481,443.8030305,9.454536496,6.867280796
722,0.999650784,3.202736585,501.6419582,9.454160155,6.865268768
723,0.999674363,3.23311554,476.5540685,9.453664698,6.868610764
724,0.99964178,3.257439435,466.2516377,9.452784394,6.876013153
725,0.999668331,3.463102524,462.0919228,9.453227222,6.878995692
726,0.999615521,3.114136076,446.5387878,9.453690212,6.8747534
727,0.999747597,2.137956222,467.5825418,9.45497216,6.873402943
728,0.999660131,1.599610896,448.7884081,9.454129906,6.869030202
729,0.992961231,1.238618433,477.3351759,9.453871465,6.845261273
730,0.999138654,2.080368553,335.5380782,9.452037512,6.858192532
731,0.999765813,3.322955455,408.2269284,9.452083043,6.878009582
732,0.999682004,1.846541879,480.814672,9.452520474,6.878106565
733,0.999708228,1.641950529,489.2178654,9.453569526,6.866546335
734,0.999721506,1.16383662,528.3271776,9.454095747,6.869723932
735,0.999727611,1.390990516,539.5702547,9.452052195,6.879368592
736,0.9996815,3.431774103,475.4433524,9.451267123,6.880646321
737,0.999758597,4.798245557,485.2495615,9.451202414,6.88494245
738,0.999664986,5.4478354,406.1408813,9.450904573,6.88846746
739,0.999554151,5.12815168,408.4907628,9.450555783,6.886650226
740,0.999560355,5.825382058,398.9627747,9.45061314,6.888353749
741,0.999685951,5.770380581,406.5878916,9.451277672,6.893625279
742,0.999624568,5.869245473,418.8481276,9.451655712,6.890357034
743,0.999750177,5.110232217,410.2112538,9.450652224,6.891266644
744,0.999687445,4.814242474,423.1083926,9.452630613,6.880913475
745,0.999556692,3.737406531,444.239822,9.451564845,6.874235378
746,0.999768239,3.79328443,440.5671437,9.453542076,6.867441616
747,0.999702583,2.921366969,456.5790711,9.452459481,6.871791243
748,0.999765556,2.518194869,446.6519695,9.451654429,6.876109714
749,0.999794942,3.617535279,432.6157625,9.454037492,6.871321425
750,0.999719645,3.926655585,430.9280395,9.451733256,6.875659846
751,0.999713973,1.622548803,476.840739,9.451837902,6.88206831
752,0.999626748,2.884838273,461.2043612,9.449728006,6.887441339
753,0.999728774,5.02864574,438.5717725,9.451529545,6.890676427
754,0.999703241,4.675089839,401.7717344,9.450894564,6.896779653
755,0.999676213,5.757657438,394.7368192,9.449901855,6.891397219
756,0.999561794,5.558734626,385.4735016,9.450842228,6.89157378
757,0.999567518,5.284549262,389.2859172,9.450338669,6.8927516
758,0.999680126,5.520034761,393.1857491,9.4514205,6.887310016
759,0.999673427,5.440046048,400.821581,9.452372865,6.881174443
760,0.999730791,4.340897118,393.3458175,9.452123543,6.878190628
761,0.999776143,4.813808756,401.114958,9.452839941,6.875325127
762,0.999661981,1.66164848,441.4636861,9.454658885,6.865580817
763,0.999787511,1.755922009,471.3147742,9.453825198,6.87736239
764,0.99973988,1.599349011,483.0709223,9.453362472,6.884121185
765,0.999732347,5.151951322,459.9668912,9.452168973,6.884389118
766,0.999738719,5.453734963,421.8847468,9.451813992,6.889085675
767,0.999620389,5.837842963,398.9721223,9.452357913,6.886739151
768,0.999609968,5.480074638,412.9627624,9.451884659,6.889906744
769,0.999721009,4.645631218,411.9487097,9.452890784,6.880624808
770,0.99971721,4.648250042,402.3332554,9.452403926,6.876012773
771,0.99963043,4.477276969,411.7355466,9.454176639,6.869470917
772,0.999630211,4.099638674,433.4800822,9.453488184,6.869490298
773,0.999785107,2.540627519,462.4581726,9.452994298,6.8680748
774,0.999800925,2.698596811,489.1128967,9.453949336,6.870166278
775,0.999684521,3.194083732,458.8677044,9.452953415,6.868973521
776,0.999702653,3.154252168,450.1257344,9.452816671,6.871808911
777,0.999653859,3.807718714,460.6843438,9.453596643,6.873837498
778,0.999617411,2.956638755,445.7342656,9.453518843,6.874831493
779,0.999557465,1.346341005,498.4385705,9.454417895,6.878536876
780,0.999633027,2.864567469,453.9688568,9.455465665,6.863534194
