Varname,Group1,Group2,LowerCI,Difference,UpperCI,p
CLAA,1,2,1.99909270913087,2.11262478196347,2.22615685479607,0
a,1,2,-0.0014702384023848,-0.00125971643053191,-0.00104919445867902,0
c,1,2,0.0122605190026236,0.013548094734297,0.0148356704659704,0
s_{121},1,2,-52.5936004006997,-48.8010435170376,-45.0084866333754,0
