Varname,Group1,Group2,LowerCI,Difference,UpperCI,p
CLAA,1,2,0.506793491407105,0.640903968925005,0.775014446442905,2.54809920409007e-21
a,1,2,0.00171989344937501,0.00185793446109095,0.00199597547280688,0
c,1,2,-0.00948063951188675,-0.00886714448557768,-0.00825364945926862,0
s_{121},1,2,-7.16643942999739,-4.51055751372661,-1.85467559745583,0.000872745751630172
