Varname,Group1,Group2,LowerCI,Difference,UpperCI,p
CLAA,1,2,1.1847863881745,1.3571674782549,1.5295485683353,0
a,1,2,-0.00236670622336938,-0.00214224651240258,-0.00191778680143577,0
c,1,2,0.00851905522224519,0.00945952676528705,0.0103999983083289,0
s_{121},1,2,-25.2933113276664,-22.8900522799052,-20.486793232144,0
